Time,N,Seed,Model,Value
12,30,107,control,0.01528053373991231
15,10,107,control,0.02313730681821632
15,30,107,control,0.04880505146413331
18,10,107,control,0.022244729018038
18,30,107,control,0.08784107954677908
21,10,107,control,0.00852460998159807
21,30,107,control,0.07926815051284568
24,10,107,control,0.07941925364189124
24,30,107,control,0.03783515169981402
27,10,107,control,0.0486458825329829
27,30,107,control,0.06720042118153093
30,10,107,control,0.04162432583262918
30,30,107,control,0.01432306319365968
33,10,107,control,0.03404402620355684
33,30,107,control,-0.00501455185554509
36,10,107,control,0.06226223128044243
36,30,107,control,0.03001062471303654
39,10,107,control,0.02832712241877187
39,30,107,control,0.08063170765599495
42,10,107,control,0.13099467216919597
42,30,107,control,0.05372519758343657
45,10,107,control,-0.01059086384412071
45,30,107,control,0.02940101422298269
48,10,107,control,0.04717050568461666
48,30,107,control,0.02705836698834333
0,10,108,control,-9.896281807898e-4
0,30,108,control,-0.04279164126184864
3,10,108,control,-0.00555092557527648
3,30,108,control,0.00667903209934807
6,10,108,control,-0.02228397421602864
6,30,108,control,-0.04475127436978168
9,10,108,control,-0.05771994526006937
9,30,108,control,-0.03049162927286134
12,10,108,control,-0.02582918070816632
12,30,108,control,-0.04062472901048038
15,10,108,control,0.00538692148907854
15,30,108,control,-0.01195463185912045
18,10,108,control,-0.05994035413359543
18,30,108,control,-0.01027820807644854
21,10,108,control,-0.04204967984107184
21,30,108,control,-0.00349154080920872
24,10,108,control,-0.01420615055142698
24,30,108,control,-0.00228735932572712
27,10,108,control,-0.03223262627572636
27,30,108,control,-0.01881638248911102
30,10,108,control,0.00848509040539328
30,30,108,control,0.00315649240187459
33,10,108,control,-0.02426114962320231
33,30,108,control,-0.02450625644381461
36,10,108,control,-0.04447466006885875
36,30,108,control,-0.09911224211347903
39,10,108,control,-0.04099082434925663
39,30,108,control,-0.0327268536056242
42,10,108,control,-0.03009124537280396
42,30,108,control,-0.03239186686345274
45,10,108,control,-0.01436634978749436
45,30,108,control,0.02783912507827194
48,10,108,control,-0.10457595225366
48,30,108,control,0.00152642352583577
0,10,109,control,-0.15649607970012402
0,30,109,control,-0.0603281592253166
3,10,109,control,-0.08810290156431463
3,30,109,control,-0.11774627149730844
6,10,109,control,-0.07332199679685218
6,30,109,control,-0.10922545117690446
9,10,109,control,-0.04982211061311786
9,30,109,control,-0.06074383532843577
12,10,109,control,-0.0652348351889622
12,30,109,control,-0.0547627103880253
15,10,109,control,-0.06555481886289781
15,30,109,control,-0.12742278776246194
18,10,109,control,-0.0325480580886577
18,30,109,control,-0.12172831519868246
21,10,109,control,-0.04515489948190373
21,30,109,control,-0.06053926179909295
24,10,109,control,-0.05443631965235623
24,30,109,control,-0.05793170392960752
27,10,109,control,-0.03557799493351463
27,30,109,control,-0.01319583388502235
30,10,109,control,-0.07741898220185355
30,30,109,control,-0.03640013842034072
33,10,109,control,-0.04520340941635614
33,30,109,control,0.00534614262986542
36,10,109,control,0.02884027754957257
36,30,109,control,-0.09362448143898298
39,10,109,control,0.06864994390654827
39,30,109,control,-0.10721695003690562
42,10,109,control,-0.01615269793392552
42,30,109,control,-0.0481594012226333
45,10,109,control,-0.13184653784452238
45,30,109,control,-0.03824634722849448
48,10,109,control,0.08158730222858881
48,30,109,control,-0.02541053304367074
0,10,11,control,-0.07432491907857318
0,30,11,control,-0.08692892410195968
3,10,11,control,-0.04284975177727558
3,30,11,control,-0.07960750338686025
6,10,11,control,-0.0808288053880091
6,30,11,control,-0.07660700964941175
9,10,11,control,-0.10103667181109054
9,30,11,control,-0.09954443943591444
12,10,11,control,-0.02795689044256948
12,30,11,control,-0.08107447715129888
15,10,11,control,-0.05957508604492625
15,30,11,control,-0.02663172486728981
18,10,11,control,-0.03791507891554956
18,30,11,control,-0.04035518484106791
21,10,11,control,-0.03275248056314071
21,30,11,control,-0.04423529710649505
24,10,11,control,-0.0622557598081772
24,30,11,control,-0.06470854922091314
27,10,11,control,-0.08940197265719423
27,30,11,control,-0.04730554549726919
30,10,11,control,-0.04989910221539146
30,30,11,control,-0.0646597399005149
33,10,11,control,-0.03619115470188606
33,30,11,control,-0.03250024649302383
36,10,11,control,-0.01131046823417042
36,30,11,control,-0.05611520549936296
39,10,11,control,-0.03353048974889435
39,30,11,control,-0.06475697915528691
42,10,11,control,-0.06042027134645356
42,30,11,control,-0.0605224303183901
45,10,11,control,-0.05350019373433809
45,30,11,control,-0.05810683872710765
48,10,11,control,-0.06591428230725864
48,30,11,control,-0.04335938259724235
0,10,110,control,-0.00158534690831644
0,30,110,control,0.00779399615190297
3,10,110,control,0.06401747665724136
3,30,110,control,0.03133054134381742
6,10,110,control,0.03581534398155379
6,30,110,control,0.00546849348558503
9,10,110,control,0.01602803305314098
9,30,110,control,0.00520043695173621
12,10,110,control,0.03226069515490309
12,30,110,control,0.0277738963866739
15,10,110,control,-0.01870425374687641
15,30,110,control,0.03963893040849601
18,10,110,control,-0.00393526550949834
18,30,110,control,-0.01681090319215334
21,10,110,control,-0.00990937432448634
21,30,110,control,0.00595976885894541
24,10,110,control,-0.01714280328209118
24,30,110,control,0.02156239328880582
27,10,110,control,3.0893808089345e-4
27,30,110,control,-0.00375925120117363
30,10,110,control,0.01660214160183082
30,30,110,control,0.03801000281888753
33,10,110,control,0.01669123355723011
33,30,110,control,0.01019507354807364
36,10,110,control,-0.03131283081928063
36,30,110,control,-0.00849807765106463
39,10,110,control,-0.02542555526425668
39,30,110,control,0.00378837395925936
42,10,110,control,0.01116252367594932
42,30,110,control,-0.0269075598611681
45,10,110,control,-0.03809168057427401
45,30,110,control,0.02863094430581344
48,10,110,control,0.04696630669945654
48,30,110,control,0.03078852260728119
0,10,111,control,0.08499776470547676
0,30,111,control,0.01765676338418557
3,10,111,control,-0.0111096170047535
3,30,111,control,-0.02524607963782984
6,10,111,control,-0.01876923376421373
6,30,111,control,-0.00644754669181694
9,10,111,control,0.00429426579778527
9,30,111,control,0.00241549372257947
12,10,111,control,-0.06322882108968512
12,30,111,control,-0.0031638410807591
15,10,111,control,0.01113378130940706
15,30,111,control,0.0212025894113973
18,10,111,control,-0.00653073011235757
18,30,111,control,-0.0202298316198696
21,10,111,control,-0.04781600230608
21,30,111,control,0.01095176732478905
24,10,111,control,-0.01725114491969522
24,30,111,control,-0.06382674366642879
27,10,111,control,0.03327220131830444
27,30,111,control,-0.03372945608592032
30,10,111,control,0.03018661092039636
30,30,111,control,-0.02837944203787435
33,10,111,control,-0.0317944781604004
33,30,111,control,0.02303220318035104
36,10,111,control,-0.02799368087824802
36,30,111,control,-0.01562393142024553
39,10,111,control,-0.02412759192737636
39,30,111,control,9.3319604626848e-4
42,10,111,control,-0.03237750236641273
42,30,111,control,-0.01473878503458843
45,10,111,control,0.06353236960163047
45,30,111,control,-0.00664311672604687
48,10,111,control,-0.02722055686813373
48,30,111,control,-0.0077563575410975
0,10,112,control,-0.03357964011258924
0,30,112,control,-0.03708154809372172
3,10,112,control,-0.0206458931881706
3,30,112,control,0.04864844452430073
6,10,112,control,-0.00249043229988326
6,30,112,control,0.04699862913908895
9,10,112,control,-0.00715221795481054
9,30,112,control,0.01412089839985623
12,10,112,control,-0.05287703393809435
12,30,112,control,-0.01178301394530594
15,10,112,control,0.11099299091525729
15,30,112,control,0.03885376433504946
18,10,112,control,-0.04067411910617379
