Time,N,Seed,Model,Value
24,30,113,control,-0.00788633331819444
27,10,113,control,0.00235538459894724
27,30,113,control,-0.04439686762931694
30,10,113,control,-0.0309962416186313
30,30,113,control,0.02488499694265046
33,10,113,control,-0.01043225520037404
33,30,113,control,-0.0480196064093332
36,10,113,control,-0.08003432765808603
36,30,113,control,-0.1916525056400065
39,10,113,control,-0.08027920560766556
39,30,113,control,0.03181416346646526
42,10,113,control,-0.0337662582450586
42,30,113,control,-0.04679727734912081
45,10,113,control,-0.04695310877415255
45,30,113,control,-0.00953453319874332
48,10,113,control,-0.05043999417409185
48,30,113,control,-0.0220446991075058
0,10,114,control,-0.019338084556305032
0,30,114,control,-0.01132882873628747
3,10,114,control,-0.01901871294241727
3,30,114,control,0.01399252701000305
6,10,114,control,-0.00492741907523261
6,30,114,control,-0.01501486064242123
9,10,114,control,-0.01065061190083337
9,30,114,control,-0.00802825541438636
12,10,114,control,0.00761291538874633
12,30,114,control,-0.01358789489343846
15,10,114,control,0.0722228047389232
15,30,114,control,0.03042292968409285
18,10,114,control,-0.01368582484426473
18,30,114,control,-0.01542204110272876
21,10,114,control,-0.03355642285237074
21,30,114,control,-0.03666128907956318
24,10,114,control,0.06185816367329291
24,30,114,control,1.4386298150239e-4
27,10,114,control,0.01130918692718944
27,30,114,control,0.00497533273466756
30,10,114,control,0.01041856368543719
30,30,114,control,-0.0062135656888823
33,10,114,control,-0.02707193435431599
33,30,114,control,0.0135271408889392
36,10,114,control,-0.03180758029921583
36,30,114,control,0.00193617769796755
39,10,114,control,-0.02909374966495945
39,30,114,control,-0.01637151041093735
42,10,114,control,-0.00902818272679588
42,30,114,control,-0.03027335873736289
45,10,114,control,-0.02750371785248523
45,30,114,control,-0.01302693083313248
48,10,114,control,0.00371527614747825
48,30,114,control,0.00436186231516758
0,10,115,control,0.06208450564503112
0,30,115,control,0.00526556816524217
3,10,115,control,0.10933755839937
3,30,115,control,-0.00216906667153694
6,10,115,control,0.09098972298743543
6,30,115,control,0.0798584058383705
9,10,115,control,0.03220731163236923
9,30,115,control,0.06676614816105274
12,10,115,control,0.13085970842113331
12,30,115,control,0.09964878209151988
15,10,115,control,0.08757649494521866
15,30,115,control,0.07237355726169648
18,10,115,control,0.09404792786509374
18,30,115,control,0.12399050606065948
21,10,115,control,0.03384641114268537
21,30,115,control,0.08063355864315143
24,10,115,control,0.00349312559964239
24,30,115,control,0.03054096942338975
27,10,115,control,0.1145323743160775
27,30,115,control,-0.00555765129574307
30,10,115,control,0.03180646252289996
30,30,115,control,0.05165287973923319
33,10,115,control,0.0770326550500764
33,30,115,control,0.13797652878563846
36,10,115,control,0.01389080827075632
36,30,115,control,0.01760725385553021
39,10,115,control,0.20260493144526823
39,30,115,control,0.08374082699612655
42,10,115,control,0.24095734110984143
42,30,115,control,0.16337069699325804
45,10,115,control,0.04606915607847178
45,30,115,control,0.07859586488449437
48,10,115,control,0.08809313027461875
48,30,115,control,0.08796118364038992
0,10,116,control,0.0022237303942747
0,30,116,control,0.00610871070950237
3,10,116,control,0.01785763421637886
3,30,116,control,-0.01592047459300657
6,10,116,control,-0.02423747533431611
6,30,116,control,-0.02357546603095909
9,10,116,control,-0.02836253424212142
9,30,116,control,-0.02583904275655842
12,10,116,control,-0.01977066633781282
12,30,116,control,-0.02340134555354541
15,10,116,control,0.04254448566757229
15,30,116,control,-0.03415953150416098
18,10,116,control,-0.00933717819825018
18,30,116,control,-0.06369549052262395
21,10,116,control,0.05920593948109692
21,30,116,control,-0.03677346360021242
24,10,116,control,-0.01844794079046764
24,30,116,control,-0.04438539429477441
27,10,116,control,0.05552878635333371
27,30,116,control,0.00364897668791063
30,10,116,control,-0.06333154505279409
30,30,116,control,-0.05159130790993204
33,10,116,control,-0.03761221912864064
33,30,116,control,-0.05307632534534876
36,10,116,control,-0.07156144889961386
36,30,116,control,-0.04803471471829883
39,10,116,control,5.1354055052564e-4
39,30,116,control,-0.03984842220616376
42,10,116,control,0.06104427669216517
42,30,116,control,-0.02526587975727578
45,10,116,control,0.01188186709419837
45,30,116,control,1.8341141264878e-4
48,10,116,control,0.05846078038411731
48,30,116,control,-0.05076482506703686
0,10,117,control,-0.024867580145676398
0,30,117,control,-0.03061244144522248
3,10,117,control,-0.04220737619136448
3,30,117,control,-0.03037771957950722
6,10,117,control,-0.01033143365474351
6,30,117,control,-0.02884994709155184
9,10,117,control,-0.04423717759425932
9,30,117,control,-0.03770940926986475
12,10,117,control,-0.01023295776498915
12,30,117,control,-0.03633976355144345
15,10,117,control,-0.00327198511099859
15,30,117,control,-0.00528716632101239
18,10,117,control,0.00888282873873623
18,30,117,control,-0.02471687375371565
21,10,117,control,-0.02831683619720171
21,30,117,control,-0.03334405710679451
24,10,117,control,-0.04704863103607093
24,30,117,control,-0.03730476714760704
27,10,117,control,-0.01410595094941048
27,30,117,control,-0.02053389767140195
30,10,117,control,-0.00792577745926835
30,30,117,control,-0.02041064964922861
33,10,117,control,-0.01600497259671928
33,30,117,control,-0.05040883120974797
36,10,117,control,-0.04562576550460372
36,30,117,control,-0.02629203274739608
39,10,117,control,-0.05001058849421825
39,30,117,control,-0.03846693216364665
42,10,117,control,-0.0361478853233588
42,30,117,control,-0.03751293299876965
45,10,117,control,-0.01393934798516895
45,30,117,control,-0.02036466318628055
48,10,117,control,-0.08047246800767079
48,30,117,control,-0.03845101481386318
0,10,118,control,-0.05797078693792731
0,30,118,control,-0.02329767517979496
3,10,118,control,-0.07032669570271124
3,30,118,control,-0.04656986311297738
6,10,118,control,-0.06334327880965243
6,30,118,control,-0.00281739742316432
9,10,118,control,-0.07990266542084533
9,30,118,control,-0.04698568426722965
12,10,118,control,-0.06029171602758162
12,30,118,control,-0.03465283221879155
15,10,118,control,0.00831896192923425
15,30,118,control,-0.03503214774280203
18,10,118,control,-0.03277912334837189
18,30,118,control,-0.01429765819543848
21,10,118,control,-0.0493598242078937
21,30,118,control,-0.04024161820567866
24,10,118,control,-0.02541694732588606
24,30,118,control,-0.04245088422814711
27,10,118,control,-0.04064760024806072
27,30,118,control,-0.02938371133078339
30,10,118,control,-0.01984461698164492
30,30,118,control,-0.01121829484889242
33,10,118,control,-0.08794911799181704
33,30,118,control,-0.08226096176189758
36,10,118,control,-0.07153790287411675
36,30,118,control,-0.07029496142362895
39,10,118,control,-0.04710668267872679
39,30,118,control,-0.05092899755164503
42,10,118,control,-0.03918855392668819
42,30,118,control,-0.04668678464017406
45,10,118,control,-0.10349621043497992
45,30,118,control,-0.0462377341343029
48,10,118,control,-0.04010867296163639
