Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
18,2494358,0.02143988727180999,0.01027532387524843,0.02953105420608859,0,0.5744583010673523,106,control
21,2497960,0.02125308742409793,0.01018483377993106,0.02924697537817816,0,0.6841755509376526,106,control
24,2497518,0.0212585825709594,0.01015603635460138,0.02932680708854602,0,0.566896915435791,106,control
27,2560898,0.02129430290419026,0.01023571658879518,0.0293085999908116,0,0.772180438041687,106,control
30,2441316,0.02122156969829321,0.01014187838882207,0.02921044956700609,0,0.5385485291481018,106,control
33,2511784,0.02112464717421456,0.01014187838882207,0.02907320887919748,0,0.6032311320304871,106,control
36,2499161,0.02115106207820451,0.01009745616465807,0.02913286157874796,0,0.6195765733718872,106,control
39,2487168,0.02138954020658056,0.01022449880838394,0.02948517483752873,0,0.7240395545959473,106,control
42,2463090,0.021334728794935882,0.01021051127463579,0.02940029180973502,0,0.6711089015007019,106,control
45,2483632,0.02140593203927749,0.01021341979503631,0.02947158082999359,0,0.6841755509376526,106,control
48,2526468,0.02131601792480133,0.01021116785705089,0.02937011927784049,0,0.646826446056366,106,control
0,2392120,0.02121709568577052,0.01011159271001815,0.0291874904256463,0,0.5089103579521179,107,control
3,2436145,0.02147264308098289,0.01030009798705577,0.02952078488531752,0,0.6780120730400085,107,control
6,2384290,0.02139421414955073,0.01020774897187948,0.02952992491118337,0,0.7914437055587769,107,control
9,2375410,0.02133577233283596,0.01022395770996809,0.02938415658703594,0,0.566896915435791,107,control
12,2460036,0.02114692120395781,0.01011848263442516,0.02959185581715145,0,1.3718315362930298,107,control
15,2402328,0.02128136124598481,0.01018039416521787,0.02929950804666105,0,0.5679451823234558,107,control
18,2400488,0.0218586115863594,0.01046247407793998,0.03007983954788094,0,0.613581657409668,107,control
21,2402304,0.02141062692634874,0.0102332467213273,0.02946070473761122,0,0.6841755509376526,107,control
24,2448784,0.02127168724953216,0.01016408950090408,0.02943646844216253,0,0.6948603391647339,107,control
27,2408304,0.02162608550719756,0.01034844201058149,0.02981039391039752,0,0.6546949148178101,107,control
30,2388480,0.02172948268484485,0.01041570212692022,0.03005947684798471,0,1.1300395727157593,107,control
33,2460861,0.02153527935827493,0.01032254379242658,0.02976841268142399,0,0.8654939532279968,107,control
36,2398176,0.02126273256415157,0.01018160674721002,0.029310490856368,0,0.6035523414611816,107,control
39,2408924,0.02128942174920476,0.01015910878777504,0.02936842782962506,0,0.5873621106147766,107,control
42,2457783,0.02141197844957327,0.01021746080368757,0.02946199939475751,0,0.6013466715812683,107,control
45,2361585,0.02124553985523004,0.0101065244525671,0.02926589086923158,0,0.6546949148178101,107,control
48,2397150,0.02157359369523774,0.01029190607368946,0.03050506089656754,0,1.5865871906280518,107,control
0,2307360,0.02127551271654737,0.01018039416521787,0.02938562791068541,0,0.5744583010673523,108,control
3,2394726,0.02134924628833168,0.01020816527307033,0.02974473622591557,0,1.3217557668685913,108,control
6,2348284,0.02123068245902001,0.01012334041297435,0.02938706110219472,0,0.7880514860153198,108,control
9,2346903,0.02151865306881574,0.0101961325854063,0.03083982996214419,0,3.296872138977051,108,control
12,2371239,0.02126792744915335,0.01017220877110958,0.02930918903454701,0,0.6857874393463135,108,control
15,2295189,0.02116025399051441,0.01009745616465807,0.02922093299045063,0,0.6009652614593506,108,control
18,2336310,0.02139544051045099,0.01019003521651029,0.02970172605723592,0,1.0116883516311646,108,control
21,2370048,0.02118942240712622,0.01009745616465807,0.03054673241206625,0,2.3702633380889893,108,control
24,2381972,0.02133400473514584,0.01021142024546861,0.02945742157186461,0,1.023410677909851,108,control
27,2369820,0.02121074795302481,0.01012693252414465,0.02930039044754847,0,0.5763967633247375,108,control
30,2354648,0.02140838173957402,0.01020811032503843,0.02958742023688959,0,0.630109429359436,108,control
33,2405376,0.02141711799427485,0.01021051127463579,0.03002313934518619,0,1.385556936264038,108,control
36,2317194,0.02128211181660448,0.01019985880702734,0.02932425274123577,0,0.6361842751502991,108,control
39,2363150,0.02148697661204683,0.01028499472886324,0.02976232712412671,0,0.7844108939170837,108,control
42,2351512,0.02131392967945192,0.01018474344164133,0.02952343721224372,0,0.9227967858314514,108,control
45,2319205,0.02134594505272178,0.01009854767471551,0.03401809037272303,0,4.13270902633667,108,control
48,2368457,0.02145490964590153,0.01017665863037109,0.03294883768253086,0,3.7177231311798096,108,control
0,2245401,0.02128245001427494,0.01016939245164394,0.02929685274630832,0,0.5856934785842896,109,control
3,2275510,0.02117017972420623,0.01012286450713872,0.02914984519345606,0,0.566896915435791,109,control
6,2274430,0.02122326064512845,0.01017883140593767,0.02915473873672357,0,0.566896915435791,109,control
9,2294412,0.02154511367348352,0.01032416895031929,0.02966588787945087,0,0.566896915435791,109,control
12,2338299,0.02124973455047292,0.01017417944967746,0.02927773635204104,0,0.5424096584320068,109,control
15,2330160,0.02129302922500272,0.01018708478659391,0.02934228166595633,0,0.6546949148178101,109,control
18,2299146,0.02144146300578806,0.01028733421117067,0.02958505888792797,0,0.6809577941894531,109,control
21,2276964,0.0213642606638979,0.0101395733654499,0.02951096882904616,0,0.5744583010673523,109,control
24,2327076,0.02123506225577378,0.01014187838882207,0.02927113582244545,0,0.7917670607566833,109,control
27,2361356,0.02127780638006262,0.01015223003923893,0.02933364969001329,0,0.566896915435791,109,control
30,2271255,0.02131381931419031,0.01018039416521787,0.02928634654819214,0,0.5034059286117554,109,control
